year,quarter,price,totexp,"year, quarter",Average Price per quarter,Average total exp per quarter
2004,1,0.4755622,"$2,873,602",,,
2004,1,0.4841148,"$5,011,960",,,
2004,1,0.4915487,"$3,768,122",,,
2004,1,0.5600569,"$1,156,052",,,
2004,1,0.5922146,"$1,031,121",,,
2004,1,0.642886,"$3,476,608",,,
2004,1,0.6928762,"$2,216,764","2004, Q1",0.562751343,"$2,790,604"
2004,2,0.5055987,"$2,410,648",,,
2004,2,0.5122502,"$6,077,381",,,
2004,2,0.5338686,"$2,562,205",,,
2004,2,0.5938243,"$1,078,263",,,
2004,2,0.5944977,"$2,208,422",,,
2004,2,0.6236217,"$897,855",,,
2004,2,0.7416858,"$2,260,063","2004, Q2",0.5997779,"$2,463,950"
2004,3,0.4893553,"$1,854,399",,,
2004,3,0.5022211,"$3,188,604",,,
2004,3,0.5238102,"$4,842,329",,,
2004,3,0.5642076,"$1,049,919",,,
2004,3,0.6380895,"$1,411,148",,,
2004,3,0.6504151,"$2,623,220",,,
2004,3,0.6543362,"$1,624,627","2004, Q3",0.5955151,"$2,356,789"
2004,4,0.5042856,"$5,650,387",,,
2004,4,0.5221093,"$2,643,643",,,
2004,4,0.5656727,"$1,169,798",,,
2004,4,0.5719003,"$2,949,065",,,
2004,4,0.6918149,"$1,926,602",,,
2004,4,0.6987849,"$3,248,463",,,
2004,4,0.7485141,"$1,205,033","2004, Q4",0.61967725,"$2,552,202"
2005,1,0.4610891,"$2,837,448",,,
2005,1,0.470459,"$4,437,533",,,
2005,1,0.5354408,"$3,377,765",,,
2005,1,0.5998346,"$3,392,774",,,
2005,1,0.6233801,"$831,402",,,
2005,1,0.6478762,"$989,916",,,
2005,1,0.6965607,"$2,774,495","2005, Q1",0.597894325,"$2,480,796"
2005,2,0.5016662,"$696,394",,,
2005,2,0.5282207,"$3,891,624",,,
2005,2,0.5305112,"$2,114,800",,,
2005,2,0.6026905,"$906,527",,,
2005,2,0.6274582,"$2,181,559",,,
2005,2,0.7457923,"$1,933,900",,,
2005,2,0.7494766,"$2,670,225","2005, Q2",0.62279705,"$2,146,191"
2005,3,0.483424,"$4,371,911",,,
2005,3,0.5026736,"$2,301,518",,,
2005,3,0.5772434,"$2,725,140",,,
2005,3,0.5954348,"$856,624",,,
2005,3,0.6120117,"$809,490",,,
2005,3,0.6671805,"$3,013,016",,,
2005,3,0.8630015,"$2,187,607","2005, Q3",0.631305763,"$2,366,941"
2005,4,0.5652272,"$4,408,123",,,
2005,4,0.5720649,"$2,501,710",,,
2005,4,0.5770083,"$3,464,198",,,
2005,4,0.746648,"$2,728,765",,,
2005,4,0.756534,"$3,505,285",,,
2005,4,0.7844398,"$776,312",,,
2005,4,0.841727,"$748,131","2005, Q4",0.713331338,"$2,540,016"
2006,1,0.5302008,"$4,362,849",,,
2006,1,0.5516428,"$2,549,190",,,
2006,1,0.5788726,"$4,133,525",,,
2006,1,0.7146114,"$2,257,026",,,
2006,1,0.7205609,"$701,407",,,
2006,1,0.7623016,"$2,059,128",,,
2006,1,0.7682732,"$957,058","2006, Q1",0.683523788,"$2,221,039"
2006,2,0.5715265,"$2,215,830",,,
2006,2,0.5802676,"$4,172,214",,,
2006,2,0.6032993,"$2,667,952",,,
2006,2,0.6823718,"$2,094,603",,,
2006,2,0.7317199,"$802,697",,,
2006,2,0.7617693,"$1,326,089","2006, Q2",0.671318229,"$2,033,778"
2006,3,0.5424835,"$3,589,614",,,
2006,3,0.5590689,"$454,656",,,
2006,3,0.5704319,"$3,436,041",,,
2006,3,0.5750793,"$1,860,161",,,
2006,3,0.6194872,"$2,227,135",,,
2006,3,0.6714433,"$704,646",,,
2006,3,0.7984035,"$1,982,167","2006, Q3",0.619485371,"$2,036,346"
2006,4,0.5737595,"$4,534,250",,,
2006,4,0.592867,"$2,019,610",,,
2006,4,0.696546,"$3,810,295",,,
2006,4,0.7375337,"$2,437,224",,,
2006,4,0.7526084,"$571,002",,,
2006,4,0.8121002,"$2,698,857",,,
2006,4,0.8227286,"$836,930","2006, Q4",0.723318363,"$2,361,292"
2007,1,0.5390344,"$1,788,044",,,
2007,1,0.5471631,"$6,583,893",,,
2007,1,0.6195311,"$2,811,075",,,
2007,1,0.6381316,"$749,702",,,
2007,1,0.6574051,"$837,583",,,
2007,1,0.6623037,"$797,532",,,
2007,1,0.7201523,"$2,792,310",,,
2007,1,0.7683296,"$2,125,539","2007, Q1",0.644006363,"$2,310,710"
2007,2,0.543891,"$812,843",,,
2007,2,0.557631,"$5,546,673",,,
2007,2,0.5979447,"$1,671,621",,,
2007,2,0.6189302,"$1,787,330",,,
2007,2,0.6326665,"$680,153",,,
2007,2,0.6709736,"$2,811,270",,,
2007,2,0.6726705,"$847,892",,,
2007,2,0.7268152,"$1,930,692","2007, Q2",0.627690338,"$2,011,060"
2007,3,0.5381716,"$4,677,458",,,
2007,3,0.5426846,"$2,096,217",,,
2007,3,0.5496652,"$1,789,864",,,
2007,3,0.5953845,"$723,466",,,
2007,3,0.6191779,"$568,307",,,
2007,3,0.702943,"$2,575,447",,,
2007,3,0.7764888,"$2,026,375",,,
2007,3,0.8056659,"$780,690","2007, Q3",0.641272688,"$1,904,728"
2007,4,0.5820765,"$1,588,180",,,
2007,4,0.582395,"$4,456,864",,,
2007,4,0.5950866,"$806,149",,,
2007,4,0.626734,"$2,918,478",,,
2007,4,0.7615942,"$869,467",,,
2007,4,0.7952874,"$2,430,450",,,
2007,4,0.8540846,"$995,788",,,
2007,4,0.887907,"$3,046,024","2007, Q4",0.710645663,"$2,138,925"
2008,1,0.4339257,"$882,376",,,
2008,1,0.4636397,"$1,973,594",,,
2008,1,0.5985952,"$955,026",,,
2008,1,0.6111833,"$4,602,575",,,
2008,1,0.6215394,"$2,972,608",,,
2008,1,0.6410137,"$3,139,915",,,
2008,1,0.649964,"$2,280,106",,,
2008,1,0.6615699,"$690,031","2008, Q1",0.585178863,"$2,187,029"
2008,2,0.5829896,"$807,921",,,
2008,2,0.5877544,"$1,643,265",,,
2008,2,0.6331178,"$2,546,679",,,
2008,2,0.6394671,"$3,920,149",,,
2008,2,0.7109228,"$1,103,004",,,
2008,2,0.7583644,"$3,067,252",,,
2008,2,0.7598579,"$1,458,419",,,
2008,2,0.7775111,"$860,452","2008, Q2",0.681248138,"$1,925,893"
2008,3,0.5362527,"$683,807",,,
2008,3,0.6486868,"$2,621,012",,,
2008,3,0.6787255,"$1,602,932",,,
2008,3,0.6896029,"$1,730,328",,,
2008,3,0.6988461,"$3,395,456",,,
2008,3,0.7245966,"$2,855,325",,,
2008,3,0.7681369,"$1,020,531",,,
2008,3,0.777707,"$784,363","2008, Q3",0.690319313,"$1,836,719"
2008,4,0.6254621,"$933,805",,,
2008,4,0.664012,"$3,243,418",,,
2008,4,0.6759506,"$2,071,625",,,
2008,4,0.684549,"$1,837,552",,,
2008,4,0.7434915,"$3,611,163",,,
2008,4,0.757193,"$743,909",,,
2008,4,0.8248348,"$1,011,821",,,
2008,4,0.8724114,"$2,989,318","2008, Q4",0.73098805,"$2,055,326"
2009,1,0.6752542,"$2,430,454",,,
2009,1,0.7047999,"$781,823",,,
2009,1,0.7325001,"$4,291,701",,,
2009,1,0.7382633,"$5,134,263",,,
2009,1,0.7608281,"$3,143,885",,,
2009,1,0.7753073,"$988,479",,,
2009,1,0.812243,"$626,299",,,
2009,1,0.8966427,"$1,529,933","2009, Q1",0.761979825,"$2,365,855"
2009,2,0.6156569,"$739,955",,,
2009,2,0.642215,"$610,558",,,
2009,2,0.7058545,"$1,906,604",,,
2009,2,0.7122484,"$2,982,106",,,
2009,2,0.7633189,"$1,090,075",,,
2009,2,0.7782237,"$3,086,665",,,
2009,2,0.8241236,"$2,098,113",,,
2009,2,0.8415264,"$4,720,173","2009, Q2",0.735395925,"$2,154,281"
2009,3,0.6054377,"$857,847",,,
2009,3,0.6760049,"$2,124,400",,,
2009,3,0.6856656,"$536,725",,,
2009,3,0.7174447,"$2,978,378",,,
2009,3,0.7411274,"$1,034,389",,,
2009,3,0.7481957,"$3,101,464",,,
2009,3,0.7724904,"$2,230,357",,,
2009,3,0.787669,"$4,163,182","2009, Q3",0.716754425,"$2,128,343"
