year,quarter,price,totexp,"year, quarter",Average Price per quarter,Average total exp per quarter
2004,1,0.8028475,"$5,428,758",,,
2004,1,0.8047566,"$21,917,472",,,
2004,1,0.837521,"$18,598,393",,,
2004,1,0.839118,"$6,436,270",,,
2004,1,0.8468235,"$5,558,670",,,
2004,1,0.8818353,"$16,120,790",,,
2004,1,0.8851652,"$22,917,827",,,
2004,1,0.9211802,"$14,593,322","2004, Q1",0.852405913,"$13,946,438"
2004,2,0.7837463,"$6,522,963",,,
2004,2,0.816105,"$21,281,489",,,
2004,2,0.8395244,"$16,528,015",,,
2004,2,0.855,"$22,732,096",,,
2004,2,0.8912161,"$15,999,357",,,
2004,2,0.9025117,"$6,156,244",,,
2004,2,0.911373,"$5,337,922",,,
2004,2,0.9258974,"$14,774,684","2004, Q2",0.865671738,"$13,666,596"
2004,3,0.8106371,"$6,045,988",,,
2004,3,0.8164324,"$21,430,661",,,
2004,3,0.8679332,"$5,377,866",,,
2004,3,0.8845187,"$16,702,241",,,
2004,3,0.8945212,"$5,015,302",,,
2004,3,0.9126797,"$20,146,105",,,
2004,3,0.9366361,"$16,110,462",,,
2004,3,0.9553407,"$17,276,735","2004, Q3",0.884837388,"$13,513,170"
2004,4,0.8245457,"$8,704,422",,,
2004,4,0.8288898,"$7,076,850",,,
2004,4,0.8705007,"$34,301,916",,,
2004,4,0.9262222,"$23,749,084",,,
2004,4,0.9355028,"$8,344,758",,,
2004,4,0.9418085,"$29,063,101",,,
2004,4,0.9730176,"$22,128,801",,,
2004,4,0.9947909,"$20,643,841","2004, Q4",0.911909775,"$19,251,597"
2005,1,0.8068153,"$5,910,524",,,
2005,1,0.8492387,"$6,959,962",,,
2005,1,0.8757744,"$17,191,889",,,
2005,1,0.8798178,"$21,035,965",,,
2005,1,0.8822206,"$22,863,705",,,
2005,1,0.9044958,"$18,065,249",,,
2005,1,0.9218708,"$6,226,180",,,
2005,1,1.00756,"$16,037,405","2005, Q1",0.890974175,"$14,286,360"
2005,2,0.7944462,"$5,350,260",,,
2005,2,0.8426857,"$6,436,020",,,
2005,2,0.8441922,"$21,385,462",,,
2005,2,0.9178885,"$17,217,170",,,
2005,2,0.9459231,"$16,779,839",,,
2005,2,0.9561695,"$5,954,130",,,
2005,2,1.013374,"$20,405,436",,,
2005,2,1.039162,"$16,024,591","2005, Q2",0.91923015,"$13,694,114"
2005,3,0.8986318,"$6,171,110",,,
2005,3,0.9030523,"$5,765,275",,,
2005,3,0.9367188,"$18,951,865",,,
2005,3,0.9449314,"$25,213,040",,,
2005,3,0.9468285,"$13,983,640",,,
2005,3,0.9844846,"$5,041,699",,,
2005,3,0.9980263,"$14,100,896",,,
2005,3,1.058735,"$15,652,708","2005, Q3",0.958926088,"$13,110,029"
2005,4,0.9204423,"$9,290,546",,,
2005,4,0.9467944,"$38,802,798",,,
2005,4,0.9756781,"$9,399,162",,,
2005,4,0.998758,"$32,164,466",,,
2005,4,0.9996874,"$9,981,776",,,
2005,4,1.001211,"$24,497,225",,,
2005,4,1.002298,"$26,098,516",,,
2005,4,1.060346,"$21,982,668","2005, Q4",0.9881519,"$21,527,145"
2006,1,0.8483945,"$6,008,287",,,
2006,1,0.972821,"$17,182,456",,,
2006,1,0.9734682,"$20,643,643",,,
2006,1,0.9782394,"$4,010,692",,,
2006,1,0.9863774,"$14,640,112",,,
2006,1,0.992273,"$24,037,083",,,
2006,1,1.07352,"$4,967,201",,,
2006,1,1.105822,"$16,249,148","2006, Q1",0.991364438,"$13,467,328"
2006,2,0.9018404,"$5,467,042",,,
2006,2,0.9058402,"$16,148,853",,,
2006,2,0.9542868,"$25,847,707",,,
2006,2,0.9607686,"$7,174,993",,,
2006,2,0.9873598,"$17,900,221",,,
2006,2,1.004078,"$14,871,615",,,
2006,2,1.034109,"$4,974,754",,,
2006,2,1.056226,"$23,913,417","2006, Q2",0.9755636,"$14,537,325"
2006,3,0.9284867,"$4,447,328",,,
2006,3,0.9328216,"$23,001,846",,,
2006,3,1.004257,"$16,644,417",,,
2006,3,1.018717,"$13,881,131",,,
2006,3,1.028713,"$8,602,883",,,
2006,3,1.053676,"$14,095,925",,,
2006,3,1.114947,"$20,494,737",,,
2006,3,1.147295,"$6,186,488","2006, Q3",1.028614163,"$13,419,344"
2006,4,0.9687588,"$38,118,718",,,
2006,4,0.9992247,"$7,079,892",,,
2006,4,0.9996396,"$8,238,042",,,
2006,4,1.037546,"$12,305,554",,,
2006,4,1.053277,"$28,716,310",,,
2006,4,1.067395,"$24,414,874",,,
2006,4,1.071656,"$29,082,374",,,
2006,4,1.092207,"$21,697,622","2006, Q4",1.036213013,"$21,206,673"
2007,1,0.9345965,"$17,600,299",,,
2007,1,0.9482727,"$22,915,197",,,
2007,1,0.9632064,"$7,254,221",,,
2007,1,0.9789413,"$10,007,000",,,
2007,1,0.9838361,"$4,141,351",,,
2007,1,1.031461,"$24,550,967",,,
2007,1,1.036963,"$18,500,857",,,
2007,1,1.038451,"$18,240,930","2007, Q1",0.989466,"$15,401,353"
2007,2,0.9642077,"$22,824,460",,,
2007,2,0.9658504,"$3,979,845",,,
2007,2,0.9999855,"$19,039,457",,,
2007,2,1.005451,"$22,818,363",,,
2007,2,1.010909,"$17,336,173",,,
2007,2,1.017523,"$7,836,826",,,
2007,2,1.032547,"$9,756,997",,,
2007,2,1.142256,"$21,719,275","2007, Q2",1.0173412,"$15,663,925"
