Country,Foreign Tariff Line Description,Current Total Estimated Retaliatory Tariff
China,"Potatoes, fresh or chilled. - Other",30.0%
China,"Tomatoes, fresh or chilled. Tomatoes, fresh or chilled.",30.0%
China,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled. - Onions and shallots ---Onions",30.0%
China,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled. - Onions and shallots ---Shallots",30.0%
China,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled. - Garlic ---Garlic bulbs",30.0%
China,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled. - Garlic ---Garlic stems, garlic seedlings",30.0%
China,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled. - Garlic ---Other",30.0%
China,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled. - Leeks and other alliaceous vegetables ---Leeks",30.0%
China,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled. - Leeks and other alliaceous vegetables ---Scallion",30.0%
China,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled. - Leeks and other alliaceous vegetables ---Other",30.0%
China,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled. - Cauliflowers and headed broccoli",30.0%
China,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled. - Brussels sprouts",30.0%
China,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled. - Other ---Cabbage (Brassica oleracea var. capitata)",30.0%
China,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled. - Other ---Cabbage (Brassica oleracea var. italica)",30.0%
China,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled. - Other ---Other",30.0%
China,"Lettuce (Lactuca sativa) and chicory (Cichorium spp.), fresh or chilled. - - Cabbage lettuce (head lettuce)",30.0%
China,"Lettuce (Lactuca sativa) and chicory (Cichorium spp.), fresh or chilled. - - Other",30.0%
China,"Lettuce (Lactuca sativa) and chicory (Cichorium spp.), fresh or chilled. - - Witloof chicory (Cichorium intybus var. foliosum)",30.0%
China,"Lettuce (Lactuca sativa) and chicory (Cichorium spp.), fresh or chilled. - - Other",30.0%
China,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh or chi - Carrots and turnips",30.0%
China,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh or chi - Other",30.0%
China,"Cucumbers and gherkins, fresh or chilled. Cucumbers and gherkins, fresh or chilled.",30.0%
China,"Leguminous vegetables, shelled or unshelled, fresh or chilled. - Peas (Pisum sativum)",30.0%
China,"Leguminous vegetables, shelled or unshelled, fresh or chilled. - Beans (Vigna spp., Phaseolus spp.)",30.0%
China,"Leguminous vegetables, shelled or unshelled, fresh or chilled. - Other leguminous vegetables",30.0%
China,"Other vegetables, fresh or chilled. - Asparagus",30.0%
China,"Other vegetables, fresh or chilled. - Aubergines (egg-plants)",30.0%
China,"Other vegetables, fresh or chilled. - Celery other than celeriac",30.0%
China,"Other vegetables, fresh or chilled. - - Mushrooms of the genus Agaricus",30.0%
China,"Other vegetables, fresh or chilled. - - Other ---Sungmo",30.0%
China,"Other vegetables, fresh or chilled. - - Other ---Shiitake",30.0%
China,"Other vegetables, fresh or chilled. - - Other ---Winter mushroom",30.0%
China,"Other vegetables, fresh or chilled. - - Other ---Paddy Straw mushroom",30.0%
