 Foreign National Tariff Line,Country,Foreign Tariff Line Description,Current Total Estimated Retaliatory Tariff,Source.Name,HS Subheading,Tariff Line
07019000,China,"Potatoes, fresh or chilled. - Other",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070190,"07019000 - Potatoes, fresh or chilled. - Other"
07020000,China,"Tomatoes, fresh or chilled. Tomatoes, fresh or chilled.",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070200,"07020000 - Tomatoes, fresh or chilled. Tomatoes, fresh or chilled."
07031010,China,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled. - Onions and shallots ---Onions",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070310,"07031010 - Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled. - Onions and shallots ---Onions"
07031020,China,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled. - Onions and shallots ---Shallots",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070310,"07031020 - Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled. - Onions and shallots ---Shallots"
07032010,China,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled. - Garlic ---Garlic bulbs",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070320,"07032010 - Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled. - Garlic ---Garlic bulbs"
07032020,China,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled. - Garlic ---Garlic stems, garlic seedlings",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070320,"07032020 - Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled. - Garlic ---Garlic stems, garlic seedlings"
07032090,China,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled. - Garlic ---Other",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070320,"07032090 - Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled. - Garlic ---Other"
07039010,China,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled. - Leeks and other alliaceous vegetables ---Leeks",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070390,"07039010 - Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled. - Leeks and other alliaceous vegetables ---Leeks"
07039020,China,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled. - Leeks and other alliaceous vegetables ---Scallion",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070390,"07039020 - Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled. - Leeks and other alliaceous vegetables ---Scallion"
07039090,China,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled. - Leeks and other alliaceous vegetables ---Other",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070390,"07039090 - Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled. - Leeks and other alliaceous vegetables ---Other"
07041000,China,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled. - Cauliflowers and headed broccoli",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070410,"07041000 - Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled. - Cauliflowers and headed broccoli"
07042000,China,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled. - Brussels sprouts",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070420,"07042000 - Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled. - Brussels sprouts"
07049010,China,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled. - Other ---Cabbage (Brassica oleracea var. capitata)",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070490,"07049010 - Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled. - Other ---Cabbage (Brassica oleracea var. capitata)"
07049020,China,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled. - Other ---Cabbage (Brassica oleracea var. italica)",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070490,"07049020 - Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled. - Other ---Cabbage (Brassica oleracea var. italica)"
07049090,China,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled. - Other ---Other",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070490,"07049090 - Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled. - Other ---Other"
